Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
1;01. NORTE;35;MINUTO DE DIOS;C;SI;485
1;01. NORTE;35;MINUTO DE DIOS;D;SI;127
1;01. NORTE;36;MIRADOR DEL KENNEDY;A;SI;32
1;01. NORTE;36;MIRADOR DEL KENNEDY;B;SI;52
1;01. NORTE;36;MIRADOR DEL KENNEDY;C;SI;76
1;01. NORTE;36;MIRADOR DEL KENNEDY;D;SI;13
1;01. NORTE;38;COLSEGUROS NORTE;A;NO;74
1;01. NORTE;38;COLSEGUROS NORTE;B;NO;337
1;01. NORTE;38;COLSEGUROS NORTE;C;NO;468
1;01. NORTE;38;COLSEGUROS NORTE;D;NO;76
1;01. NORTE;39;OMAGA I ;A;SI;10
1;01. NORTE;39;OMAGA I ;B;SI;82
1;01. NORTE;39;OMAGA I ;C;SI;81
1;01. NORTE;39;OMAGA I ;D;SI;21
1;01. NORTE;40;MIRAMAR;A;SI;42
1;01. NORTE;40;MIRAMAR;B;SI;161
1;01. NORTE;40;MIRAMAR;C;SI;227
1;01. NORTE;40;MIRAMAR;D;SI;33
1;01. NORTE;41;BALCONES DEL KENNEDY;A;SI;193
1;01. NORTE;41;BALCONES DEL KENNEDY;B;SI;438
1;01. NORTE;41;BALCONES DEL KENNEDY;C;SI;423
1;01. NORTE;41;BALCONES DEL KENNEDY;D;SI;67
1;01. NORTE;42;VILLA MARIA;A;SI;107
1;01. NORTE;42;VILLA MARIA;B;SI;155
1;01. NORTE;42;VILLA MARIA;C;SI;105
1;01. NORTE;42;VILLA MARIA;D;SI;7
1;01. NORTE;43;ASENTAMIENTO VILLA MARIA;B;NO;3
1;01. NORTE;47;OLAS ALTAS Y BAJAS;A;SI;125
1;01. NORTE;47;OLAS ALTAS Y BAJAS;B;SI;314
1;01. NORTE;47;OLAS ALTAS Y BAJAS;C;SI;556
1;01. NORTE;47;OLAS ALTAS Y BAJAS;D;SI;66
1;01. NORTE;49;PAISAJES DEL NORTE;A;NO;97
1;01. NORTE;49;PAISAJES DEL NORTE;B;NO;321
1;01. NORTE;49;PAISAJES DEL NORTE;C;NO;274
1;01. NORTE;49;PAISAJES DEL NORTE;D;NO;25
1;01. NORTE;50;VILLA ROSA;A;SI;648
1;01. NORTE;50;VILLA ROSA;B;SI;2258
1;01. NORTE;50;VILLA ROSA;C;SI;2376
1;01. NORTE;50;VILLA ROSA;D;SI;333
1;01. NORTE;55;CLAVERIANO;A;SI;320
1;01. NORTE;55;CLAVERIANO;B;SI;676
1;01. NORTE;55;CLAVERIANO;C;SI;350
1;01. NORTE;55;CLAVERIANO;D;SI;32
1;01. NORTE;56;ALTOS DEL PROGRESO;A;SI;224
1;01. NORTE;56;ALTOS DEL PROGRESO;B;SI;605
