Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Grupo;Nivel;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;C;17;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;C;18;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;3;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;5;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;10;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;13;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;14;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;A;1;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;A;2;78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;A;3;108
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;A;4;109
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;A;5;171
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;1;142
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;2;195
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;3;231
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;4;155
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;5;196
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;6;129
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;7;146
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;1;106
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;2;156
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;3;96
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;4;78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;5;100
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;6;60
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;7;50
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;8;52
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;9;37
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;10;44
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;11;45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;12;27
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;13;31
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;14;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;15;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;16;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;17;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;18;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;1;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;2;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;3;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;4;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;5;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;6;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;7;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;8;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;9;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;10;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;11;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;12;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;13;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;14;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;17;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;18;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;19;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;20;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;21;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;A;2;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;A;3;63
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;A;4;82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;A;5;57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;1;75
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;2;99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;3;130
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;4;61
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;5;79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;6;50
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;7;73
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;1;59
