Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;tip_empleado;Count of documento
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;5;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;99;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;1;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;5;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;8;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;99;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;1;36
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;3;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;5;47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;7;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;10;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;99;180
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;1;53
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;3;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;5;124
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;8;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;9;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;10;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;99;512
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;1;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;3;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;5;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;99;82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;1;52
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;3;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;5;103
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;6;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;8;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;10;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;99;504
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;1;56
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;3;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;5;84
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;10;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;99;490
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;1;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;2;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;3;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;5;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;99;160
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;1;160
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;3;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;4;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;5;320
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;6;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;7;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;8;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;10;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;99;1451
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;1;67
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;2;4
