COMUNA,BARRIO,CAPITULO,Count of capitulo
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,1
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,3
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,1
01. NORTE,CLAVERIANO,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,1
01. NORTE,CLAVERIANO,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,65
01. NORTE,CLAVERIANO,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,18
01. NORTE,CLAVERIANO,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,5
01. NORTE,CLAVERIANO,Cap. 2 - LIMPIEZA Y RECOLECCIÓN DE RESIDUOS Y DE ESCOMBROS,1
01. NORTE,CLAVERIANO,"Cap. 2 - RECURSO HÍDRICO, FAUNA, FLORA Y AIRE",1
01. NORTE,CLAVERIANO,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,1
01. NORTE,CLAVERIANO,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
01. NORTE,COLORADOS,Cap. 1 - DE LA SALUD PÚBLICA,2
01. NORTE,COLORADOS,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",5
01. NORTE,COLORADOS,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,6
01. NORTE,COLORADOS,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,667
01. NORTE,COLORADOS,Cap. 2 - DE LA SEGURIDAD EN LOS SERVICIOS PÚBLICOS,3
01. NORTE,COLORADOS,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,251
01. NORTE,COLORADOS,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,51
01. NORTE,COLORADOS,Cap. 2 - LIMPIEZA Y RECOLECCIÓN DE RESIDUOS Y DE ESCOMBROS,2
01. NORTE,COLORADOS,"Cap. 2 - RECURSO HÍDRICO, FAUNA, FLORA Y AIRE",2
01. NORTE,COLORADOS,Cap. 3 - ARTÍCULOS PIROTÉCNICOS Y SUSTANCIAS PELIGROSAS,2
01. NORTE,COLORADOS,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,29
01. NORTE,COLORADOS,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,10
01. NORTE,COLORADOS,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
01. NORTE,COLSEGUROS NORTE,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,2
