Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;H_5_Pobre o no;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;1;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;0;832
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;1;123
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;0;165
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;1;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;0;401
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;1;62
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;0;912
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;1;209
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MAR÷A;0;216
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MAR÷A;1;158
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MAR÷A;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS µNGELES;0;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;0;875
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;1;186
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;0;594
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;1;123
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;0;4699
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;1;916
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;0;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;0;1114
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;1;264
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;0;985
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;1;251
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;0;170
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;1;39
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;0;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFê MADRID LA 40;0;85
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFê MADRID LA 40;1;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;0;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;1;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;0;324
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;1;326
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;108;LIMONCITO MORRORRICO;0;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;229;VILLA SARA;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;0;121
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;1;47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;0;94
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;1;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;244;VILLA FLOR;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;0;307
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;1;194
