Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;tip_empleado;personas
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;1;22
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;3;8
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;5;63
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;6;3
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;7;1
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;99;254
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;1;11
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;3;6
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;5;33
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;6;2
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;99;138
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;1;58
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;2;1
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;3;10
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;5;111
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;6;4
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;8;10
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;10;1
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;99;486
1;0;SIN CORREGIMIENTO;9;LAS DELICIAS;1-LAS DELICIAS;0;0;1;1
1;0;SIN CORREGIMIENTO;9;LAS DELICIAS;1-LAS DELICIAS;0;0;5;5
1;0;SIN CORREGIMIENTO;9;LAS DELICIAS;1-LAS DELICIAS;0;0;99;17
1;0;SIN CORREGIMIENTO;10;ASENTAMIENTO BARRIO NUEVO;1-ASENTAMIENTO BARRIO NUEVO;BARRIO NUEVO;SI;1;1
1;0;SIN CORREGIMIENTO;10;ASENTAMIENTO BARRIO NUEVO;1-ASENTAMIENTO BARRIO NUEVO;BARRIO NUEVO;SI;5;2
1;0;SIN CORREGIMIENTO;10;ASENTAMIENTO BARRIO NUEVO;1-ASENTAMIENTO BARRIO NUEVO;BARRIO NUEVO;SI;7;1
1;0;SIN CORREGIMIENTO;10;ASENTAMIENTO BARRIO NUEVO;1-ASENTAMIENTO BARRIO NUEVO;BARRIO NUEVO;SI;8;1
1;0;SIN CORREGIMIENTO;10;ASENTAMIENTO BARRIO NUEVO;1-ASENTAMIENTO BARRIO NUEVO;BARRIO NUEVO;SI;99;16
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;1;36
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;3;8
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;5;47
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;7;2
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;10;2
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;99;180
1;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;1-CAFE MADRID EL TUNEL;0;0;1;53
1;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;1-CAFE MADRID EL TUNEL;0;0;2;1
1;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;1-CAFE MADRID EL TUNEL;0;0;3;12
1;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;1-CAFE MADRID EL TUNEL;0;0;5;124
1;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;1-CAFE MADRID EL TUNEL;0;0;8;8
