COMUNA,BARRIO,COMPORTAMIENTO,Count of comportamiento
05. GARCIA ROVIRA,CHORRERAS DE DON JUAN,Num. 2,75
05. GARCIA ROVIRA,CHORRERAS DE DON JUAN,Num. 3,7
05. GARCIA ROVIRA,CHORRERAS DE DON JUAN,Num. 4,8
05. GARCIA ROVIRA,CHORRERAS DE DON JUAN,Num. 6,95
05. GARCIA ROVIRA,CHORRERAS DE DON JUAN,Num. 7,13
05. GARCIA ROVIRA,CHORRERAS DE DON JUAN,Num. 8,4
05. GARCIA ROVIRA,LA ESTRELLA,Num. 8,1
05. GARCIA ROVIRA,LA JOYA,Lit. a,2
05. GARCIA ROVIRA,LA JOYA,Lit. b,2
05. GARCIA ROVIRA,LA JOYA,Lit. c,10
05. GARCIA ROVIRA,LA JOYA,Num. 1,61
05. GARCIA ROVIRA,LA JOYA,Num. 11,4
05. GARCIA ROVIRA,LA JOYA,Num. 12,1
05. GARCIA ROVIRA,LA JOYA,Num. 13,10
05. GARCIA ROVIRA,LA JOYA,Num. 14,1
05. GARCIA ROVIRA,LA JOYA,Num. 16,7
05. GARCIA ROVIRA,LA JOYA,Num. 2,168
05. GARCIA ROVIRA,LA JOYA,Num. 3,23
05. GARCIA ROVIRA,LA JOYA,Num. 4,21
05. GARCIA ROVIRA,LA JOYA,Num. 5,2
05. GARCIA ROVIRA,LA JOYA,Num. 6,142
05. GARCIA ROVIRA,LA JOYA,Num. 7,74
05. GARCIA ROVIRA,LA JOYA,Num. 8,40
05. GARCIA ROVIRA,PANTANO I,Num. 1,1
05. GARCIA ROVIRA,PANTANO I,Num. 7,1
05. GARCIA ROVIRA,PANTANO II,Num. 13,1
05. GARCIA ROVIRA,PANTANO II,Num. 2,7
05. GARCIA ROVIRA,PANTANO II,Num. 6,1
05. GARCIA ROVIRA,PANTANO II,Num. 7,3
05. GARCIA ROVIRA,PANTANO III,Num. 6,1
05. GARCIA ROVIRA,PANTANO III,Num. 8,1
05. GARCIA ROVIRA,PRIMERO DE MAYO,Num. 1,2
05. GARCIA ROVIRA,PRIMERO DE MAYO,Num. 11,1
05. GARCIA ROVIRA,PRIMERO DE MAYO,Num. 2,3
05. GARCIA ROVIRA,PRIMERO DE MAYO,Num. 6,5
05. GARCIA ROVIRA,PRIMERO DE MAYO,Num. 7,1
05. GARCIA ROVIRA,PRIMERO DE MAYO,Num. 8,1
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 1,12
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 11,10
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 2,11
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 3,4
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 4,4
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 6,16
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 7,19
05. GARCIA ROVIRA,QUINTA ESTRELLA,Num. 8,10
05. GARCIA ROVIRA,RINCON DE PAZ (17 DE ENERO Y 12 DE FEBRERO),Num. 2,1
05. GARCIA ROVIRA,URB. VILLA ROMERO,Num. 10,1
06. LA CONCORDIA,CANDILES,Lit. a,1
06. LA CONCORDIA,CANDILES,Lit. c,2
06. LA CONCORDIA,CANDILES,Num. 1,9
06. LA CONCORDIA,CANDILES,Num. 13,1
06. LA CONCORDIA,CANDILES,Num. 2,16
06. LA CONCORDIA,CANDILES,Num. 3,4
06. LA CONCORDIA,CANDILES,Num. 4,8
06. LA CONCORDIA,CANDILES,Num. 6,11
06. LA CONCORDIA,CANDILES,Num. 7,5
06. LA CONCORDIA,CANDILES,Num. 8,10
06. LA CONCORDIA,GOMEZ NIÑO,Lit. a,2
06. LA CONCORDIA,GOMEZ NIÑO,Num. 0,1
06. LA CONCORDIA,GOMEZ NIÑO,Num. 1,93
06. LA CONCORDIA,GOMEZ NIÑO,Num. 10,1
06. LA CONCORDIA,GOMEZ NIÑO,Num. 11,6
06. LA CONCORDIA,GOMEZ NIÑO,Num. 13,131
06. LA CONCORDIA,GOMEZ NIÑO,Num. 14,5
06. LA CONCORDIA,GOMEZ NIÑO,Num. 16,11
06. LA CONCORDIA,GOMEZ NIÑO,Num. 2,356
06. LA CONCORDIA,GOMEZ NIÑO,Num. 3,23
06. LA CONCORDIA,GOMEZ NIÑO,Num. 4,23
06. LA CONCORDIA,GOMEZ NIÑO,Num. 5,3
06. LA CONCORDIA,GOMEZ NIÑO,Num. 6,368
06. LA CONCORDIA,GOMEZ NIÑO,Num. 7,88
06. LA CONCORDIA,GOMEZ NIÑO,Num. 8,123
06. LA CONCORDIA,GOMEZ NIÑO,Num. 9,1
06. LA CONCORDIA,LA CEIBA,Lit. d,8
06. LA CONCORDIA,LA CEIBA,Num. 1,63
06. LA CONCORDIA,LA CEIBA,Num. 11,5
06. LA CONCORDIA,LA CEIBA,Num. 13,47
06. LA CONCORDIA,LA CEIBA,Num. 14,1
06. LA CONCORDIA,LA CEIBA,Num. 16,2
06. LA CONCORDIA,LA CEIBA,Num. 2,212
06. LA CONCORDIA,LA CEIBA,Num. 3,8
06. LA CONCORDIA,LA CEIBA,Num. 4,18
06. LA CONCORDIA,LA CEIBA,Num. 5,1
06. LA CONCORDIA,LA CEIBA,Num. 6,153
06. LA CONCORDIA,LA CEIBA,Num. 7,233
06. LA CONCORDIA,LA CEIBA,Num. 8,199
06. LA CONCORDIA,LA CONCORDIA,Lit. a,1
06. LA CONCORDIA,LA CONCORDIA,Lit. b,1
06. LA CONCORDIA,LA CONCORDIA,Lit. c,9
06. LA CONCORDIA,LA CONCORDIA,Lit. d,3
06. LA CONCORDIA,LA CONCORDIA,Lit. e,1
06. LA CONCORDIA,LA CONCORDIA,Lit. f,1
06. LA CONCORDIA,LA CONCORDIA,Num. 1,149
06. LA CONCORDIA,LA CONCORDIA,Num. 10,21
06. LA CONCORDIA,LA CONCORDIA,Num. 11,23
06. LA CONCORDIA,LA CONCORDIA,Num. 12,1
06. LA CONCORDIA,LA CONCORDIA,Num. 13,19
06. LA CONCORDIA,LA CONCORDIA,Num. 16,64
06. LA CONCORDIA,LA CONCORDIA,Num. 2,431
06. LA CONCORDIA,LA CONCORDIA,Num. 3,44
06. LA CONCORDIA,LA CONCORDIA,Num. 4,89
06. LA CONCORDIA,LA CONCORDIA,Num. 5,15
06. LA CONCORDIA,LA CONCORDIA,Num. 6,557
06. LA CONCORDIA,LA CONCORDIA,Num. 7,151
06. LA CONCORDIA,LA CONCORDIA,Num. 8,92
06. LA CONCORDIA,LA CONCORDIA,Num. 9,4
06. LA CONCORDIA,LA GUACAMAYA,Num. 2,6
06. LA CONCORDIA,LA SALLE,Lit. b,2
06. LA CONCORDIA,LA SALLE,Num. 1,13
06. LA CONCORDIA,LA SALLE,Num. 11,3
06. LA CONCORDIA,LA SALLE,Num. 13,1
06. LA CONCORDIA,LA SALLE,Num. 16,3
06. LA CONCORDIA,LA SALLE,Num. 2,50
06. LA CONCORDIA,LA SALLE,Num. 3,3
06. LA CONCORDIA,LA SALLE,Num. 4,6
06. LA CONCORDIA,LA SALLE,Num. 6,62
06. LA CONCORDIA,LA SALLE,Num. 7,33
06. LA CONCORDIA,LA SALLE,Num. 8,29
06. LA CONCORDIA,LA VICTORIA,Lit. d,1
06. LA CONCORDIA,LA VICTORIA,Num. 1,90
06. LA CONCORDIA,LA VICTORIA,Num. 11,8
06. LA CONCORDIA,LA VICTORIA,Num. 13,6
06. LA CONCORDIA,LA VICTORIA,Num. 16,12
06. LA CONCORDIA,LA VICTORIA,Num. 2,169
06. LA CONCORDIA,LA VICTORIA,Num. 3,31
06. LA CONCORDIA,LA VICTORIA,Num. 4,17
06. LA CONCORDIA,LA VICTORIA,Num. 5,3
06. LA CONCORDIA,LA VICTORIA,Num. 6,121
06. LA CONCORDIA,LA VICTORIA,Num. 7,86
06. LA CONCORDIA,LA VICTORIA,Num. 8,65
06. LA CONCORDIA,RICAURTE,Lit. a,1
06. LA CONCORDIA,RICAURTE,Lit. b,1
06. LA CONCORDIA,RICAURTE,Lit. c,2
06. LA CONCORDIA,RICAURTE,Lit. e,2
06. LA CONCORDIA,RICAURTE,Num. 1,186
06. LA CONCORDIA,RICAURTE,Num. 10,1
06. LA CONCORDIA,RICAURTE,Num. 11,19
06. LA CONCORDIA,RICAURTE,Num. 12,1
06. LA CONCORDIA,RICAURTE,Num. 13,5
06. LA CONCORDIA,RICAURTE,Num. 16,33
06. LA CONCORDIA,RICAURTE,Num. 2,279
06. LA CONCORDIA,RICAURTE,Num. 3,46
06. LA CONCORDIA,RICAURTE,Num. 4,55
06. LA CONCORDIA,RICAURTE,Num. 5,9
06. LA CONCORDIA,RICAURTE,Num. 6,255
06. LA CONCORDIA,RICAURTE,Num. 7,106
06. LA CONCORDIA,RICAURTE,Num. 8,68
06. LA CONCORDIA,RICAURTE,Num. 9,2
06. LA CONCORDIA,SAN MIGUEL,Lit. a,2
06. LA CONCORDIA,SAN MIGUEL,Lit. b,1
06. LA CONCORDIA,SAN MIGUEL,Lit. c,2
06. LA CONCORDIA,SAN MIGUEL,Num. 1,40
06. LA CONCORDIA,SAN MIGUEL,Num. 10,3
06. LA CONCORDIA,SAN MIGUEL,Num. 11,5
06. LA CONCORDIA,SAN MIGUEL,Num. 13,9
06. LA CONCORDIA,SAN MIGUEL,Num. 16,10
06. LA CONCORDIA,SAN MIGUEL,Num. 2,70
06. LA CONCORDIA,SAN MIGUEL,Num. 3,13
06. LA CONCORDIA,SAN MIGUEL,Num. 4,16
06. LA CONCORDIA,SAN MIGUEL,Num. 5,2
06. LA CONCORDIA,SAN MIGUEL,Num. 6,131
06. LA CONCORDIA,SAN MIGUEL,Num. 7,41
06. LA CONCORDIA,SAN MIGUEL,Num. 8,40
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Art. 27,1
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Lit. a,6
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Lit. b,8
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Lit. c,4
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 1,444
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 11,19
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 12,1
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 13,80
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 14,1
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 16,21
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 2,791
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 3,108
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 4,191
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 5,14
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 6,665
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 7,685
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 8,746
07. LA CIUDADELA,CIUDADELA REAL DE MINAS,Num. 9,2
07. LA CIUDADELA,LAURELES I,Num. 1,4
07. LA CIUDADELA,LAURELES I,Num. 13,1
07. LA CIUDADELA,LAURELES I,Num. 2,5
07. LA CIUDADELA,LAURELES I,Num. 6,3
07. LA CIUDADELA,LAURELES I,Num. 8,1
07. LA CIUDADELA,URB. ACROPOLIS I,Num. 2,2
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Lit. a,1
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 1,27
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 10,2
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 11,1
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 13,7
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 16,3
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 2,86
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 3,13
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 4,9
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 5,7
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 6,118
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 7,100
07. LA CIUDADELA,URB. CIUDAD BOLIVAR,Num. 8,76
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 1,2
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 16,1
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 2,2
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 3,1
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 4,2
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 5,1
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 6,7
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 7,1
07. LA CIUDADELA,URB. LOS ALMENDROS,Num. 8,1
07. LA CIUDADELA,URB. LOS NARANJOS,Lit. a,1
07. LA CIUDADELA,URB. LOS NARANJOS,Lit. c,1
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 1,44
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 11,8
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 13,5
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 14,2
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 2,96
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 3,9
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 4,11
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 5,1
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 6,89
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 7,166
07. LA CIUDADELA,URB. LOS NARANJOS,Num. 8,118
07. LA CIUDADELA,URB. MACAREGUA,Lit. a,1
07. LA CIUDADELA,URB. MACAREGUA,Num. 1,1
07. LA CIUDADELA,URB. MACAREGUA,Num. 3,1
07. LA CIUDADELA,URB. PLAZA MAYOR,Num. 1,1
07. LA CIUDADELA,URB. PLAZA MAYOR,Num. 2,1
07. LA CIUDADELA,URB. PLAZA MAYOR,Num. 5,1
07. LA CIUDADELA,URB. PLAZA MAYOR,Num. 6,1
07. LA CIUDADELA,URB. PLAZA MAYOR,Num. 7,4
07. LA CIUDADELA,URB. PLAZA MAYOR,Num. 8,2
07. LA CIUDADELA,URB. PLAZUELA REAL,Num. 1,4
07. LA CIUDADELA,URB. SAMANES,Num. 1,6
08. SUROCCIDENTE,20 DE JULIO,Num. 1,4
08. SUROCCIDENTE,20 DE JULIO,Num. 2,2
08. SUROCCIDENTE,20 DE JULIO,Num. 4,2
08. SUROCCIDENTE,20 DE JULIO,Num. 5,1
08. SUROCCIDENTE,20 DE JULIO,Num. 6,2
08. SUROCCIDENTE,AFRICA,Num. 16,1
08. SUROCCIDENTE,AFRICA,Num. 6,1
08. SUROCCIDENTE,ANTIGUA COLOMBIA,Num. 2,1
08. SUROCCIDENTE,ASENTAMIENTO EL FONCE,Num. 2,2
08. SUROCCIDENTE,ASENTAMIENTO EL FONCE,Num. 6,3
08. SUROCCIDENTE,ASENTAMIENTO EL FONCE,Num. 8,1
08. SUROCCIDENTE,BUCARAMANGA,Lit. h,1
08. SUROCCIDENTE,BUCARAMANGA,Num. 1,154
08. SUROCCIDENTE,BUCARAMANGA,Num. 11,20
08. SUROCCIDENTE,BUCARAMANGA,Num. 13,9
08. SUROCCIDENTE,BUCARAMANGA,Num. 16,22
08. SUROCCIDENTE,BUCARAMANGA,Num. 2,342
08. SUROCCIDENTE,BUCARAMANGA,Num. 3,54
08. SUROCCIDENTE,BUCARAMANGA,Num. 4,28
08. SUROCCIDENTE,BUCARAMANGA,Num. 5,1
08. SUROCCIDENTE,BUCARAMANGA,Num. 6,285
08. SUROCCIDENTE,BUCARAMANGA,Num. 7,58
08. SUROCCIDENTE,BUCARAMANGA,Num. 8,112
08. SUROCCIDENTE,BUCARAMANGA,Num. 9,4
08. SUROCCIDENTE,CANELOS,Num. 1,40
08. SUROCCIDENTE,CANELOS,Num. 10,1
08. SUROCCIDENTE,CANELOS,Num. 11,3
08. SUROCCIDENTE,CANELOS,Num. 12,1
08. SUROCCIDENTE,CANELOS,Num. 13,14
08. SUROCCIDENTE,CANELOS,Num. 16,7
08. SUROCCIDENTE,CANELOS,Num. 2,94
08. SUROCCIDENTE,CANELOS,Num. 3,23
08. SUROCCIDENTE,CANELOS,Num. 4,3
08. SUROCCIDENTE,CANELOS,Num. 6,142
08. SUROCCIDENTE,CANELOS,Num. 7,33
08. SUROCCIDENTE,CANELOS,Num. 8,29
08. SUROCCIDENTE,CORDONCILLO I,Num. 1,18
08. SUROCCIDENTE,CORDONCILLO I,Num. 2,3
08. SUROCCIDENTE,CORDONCILLO I,Num. 4,3
08. SUROCCIDENTE,CORDONCILLO I,Num. 6,2
08. SUROCCIDENTE,CORDONCILLO I,Num. 7,1
08. SUROCCIDENTE,CORDONCILLO II,Num. 2,1
08. SUROCCIDENTE,CORDONCILLO II,Num. 3,1
08. SUROCCIDENTE,CORDONCILLO II,Num. 4,2
08. SUROCCIDENTE,CORDONCILLO II,Num. 6,3
08. SUROCCIDENTE,CORDONCILLO II,Num. 8,1
08. SUROCCIDENTE,JUAN XXIII,Lit. b,2
08. SUROCCIDENTE,JUAN XXIII,Num. 1,33
08. SUROCCIDENTE,JUAN XXIII,Num. 16,3
08. SUROCCIDENTE,JUAN XXIII,Num. 2,17
08. SUROCCIDENTE,JUAN XXIII,Num. 3,5
08. SUROCCIDENTE,JUAN XXIII,Num. 4,5
08. SUROCCIDENTE,JUAN XXIII,Num. 6,10
08. SUROCCIDENTE,JUAN XXIII,Num. 7,3
08. SUROCCIDENTE,JUAN XXIII,Num. 8,5
08. SUROCCIDENTE,LOS LAURELES,Num. 1,11
08. SUROCCIDENTE,LOS LAURELES,Num. 2,7
08. SUROCCIDENTE,LOS LAURELES,Num. 3,1
08. SUROCCIDENTE,LOS LAURELES,Num. 4,2
08. SUROCCIDENTE,LOS LAURELES,Num. 6,4
08. SUROCCIDENTE,PABLO VI,Lit. d,1
08. SUROCCIDENTE,PABLO VI,Num. 1,53
08. SUROCCIDENTE,PABLO VI,Num. 11,1
08. SUROCCIDENTE,PABLO VI,Num. 13,3
08. SUROCCIDENTE,PABLO VI,Num. 16,3
08. SUROCCIDENTE,PABLO VI,Num. 2,73
08. SUROCCIDENTE,PABLO VI,Num. 3,16
08. SUROCCIDENTE,PABLO VI,Num. 4,16
08. SUROCCIDENTE,PABLO VI,Num. 5,2
08. SUROCCIDENTE,PABLO VI,Num. 6,111
08. SUROCCIDENTE,PABLO VI,Num. 7,20
08. SUROCCIDENTE,PABLO VI,Num. 8,16
08. SUROCCIDENTE,QUEBRADA LA IGLESIA II,Num. 1,1
08. SUROCCIDENTE,SAN GERARDO,Lit. c,1
08. SUROCCIDENTE,SAN GERARDO,Num. 1,48
08. SUROCCIDENTE,SAN GERARDO,Num. 10,1
08. SUROCCIDENTE,SAN GERARDO,Num. 12,1
08. SUROCCIDENTE,SAN GERARDO,Num. 13,5
08. SUROCCIDENTE,SAN GERARDO,Num. 16,9
08. SUROCCIDENTE,SAN GERARDO,Num. 2,122
08. SUROCCIDENTE,SAN GERARDO,Num. 3,17
08. SUROCCIDENTE,SAN GERARDO,Num. 4,15
08. SUROCCIDENTE,SAN GERARDO,Num. 5,3
08. SUROCCIDENTE,SAN GERARDO,Num. 6,167
08. SUROCCIDENTE,SAN GERARDO,Num. 7,43
08. SUROCCIDENTE,SAN GERARDO,Num. 8,48
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 1,15
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 11,2
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 2,75
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 3,2
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 4,1
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 5,1
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 6,54
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 7,35
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 8,17
09. LA PEDREGOSA,ANTONIA SANTOS SUR,Num. 9,2
09. LA PEDREGOSA,ASTURIAS,Art. 92,1
09. LA PEDREGOSA,ASTURIAS,Lit. a,3
09. LA PEDREGOSA,ASTURIAS,Lit. c,1
09. LA PEDREGOSA,ASTURIAS,Lit. e,1
09. LA PEDREGOSA,ASTURIAS,Num. 1,40
09. LA PEDREGOSA,ASTURIAS,Num. 11,11
09. LA PEDREGOSA,ASTURIAS,Num. 13,14
09. LA PEDREGOSA,ASTURIAS,Num. 16,12
09. LA PEDREGOSA,ASTURIAS,Num. 2,90
09. LA PEDREGOSA,ASTURIAS,Num. 3,11
09. LA PEDREGOSA,ASTURIAS,Num. 4,9
09. LA PEDREGOSA,ASTURIAS,Num. 5,12
09. LA PEDREGOSA,ASTURIAS,Num. 6,111
09. LA PEDREGOSA,ASTURIAS,Num. 7,94
09. LA PEDREGOSA,ASTURIAS,Num. 8,53
09. LA PEDREGOSA,ASTURIAS,Num. 9,2
09. LA PEDREGOSA,DIAMANTE I,Lit. c,2
09. LA PEDREGOSA,DIAMANTE I,Num. 1,26
09. LA PEDREGOSA,DIAMANTE I,Num. 11,3
09. LA PEDREGOSA,DIAMANTE I,Num. 13,3
09. LA PEDREGOSA,DIAMANTE I,Num. 16,4
09. LA PEDREGOSA,DIAMANTE I,Num. 2,85
09. LA PEDREGOSA,DIAMANTE I,Num. 3,10
09. LA PEDREGOSA,DIAMANTE I,Num. 4,5
09. LA PEDREGOSA,DIAMANTE I,Num. 5,1
09. LA PEDREGOSA,DIAMANTE I,Num. 6,90
09. LA PEDREGOSA,DIAMANTE I,Num. 7,97
09. LA PEDREGOSA,DIAMANTE I,Num. 8,28
09. LA PEDREGOSA,DIAMANTE I,Num. 9,2
09. LA PEDREGOSA,LA LIBERTAD,Num. 1,22
09. LA PEDREGOSA,LA LIBERTAD,Num. 11,4
09. LA PEDREGOSA,LA LIBERTAD,Num. 13,6
09. LA PEDREGOSA,LA LIBERTAD,Num. 16,2
09. LA PEDREGOSA,LA LIBERTAD,Num. 2,31
09. LA PEDREGOSA,LA LIBERTAD,Num. 3,3
09. LA PEDREGOSA,LA LIBERTAD,Num. 4,3
09. LA PEDREGOSA,LA LIBERTAD,Num. 5,1
09. LA PEDREGOSA,LA LIBERTAD,Num. 6,31
09. LA PEDREGOSA,LA LIBERTAD,Num. 7,19
09. LA PEDREGOSA,LA LIBERTAD,Num. 8,9
09. LA PEDREGOSA,LA PEDREGOSA,Lit. a,2
09. LA PEDREGOSA,LA PEDREGOSA,Lit. c,5
09. LA PEDREGOSA,LA PEDREGOSA,Num. 1,45
09. LA PEDREGOSA,LA PEDREGOSA,Num. 11,4
09. LA PEDREGOSA,LA PEDREGOSA,Num. 13,1
09. LA PEDREGOSA,LA PEDREGOSA,Num. 16,9
09. LA PEDREGOSA,LA PEDREGOSA,Num. 2,95
09. LA PEDREGOSA,LA PEDREGOSA,Num. 3,10
09. LA PEDREGOSA,LA PEDREGOSA,Num. 4,9
09. LA PEDREGOSA,LA PEDREGOSA,Num. 5,1
09. LA PEDREGOSA,LA PEDREGOSA,Num. 6,52
09. LA PEDREGOSA,LA PEDREGOSA,Num. 7,40
09. LA PEDREGOSA,LA PEDREGOSA,Num. 8,26
09. LA PEDREGOSA,LA PEDREGOSA,Num. 9,1
09. LA PEDREGOSA,LAS CASITAS,Num. 1,2
09. LA PEDREGOSA,LAS CASITAS,Num. 4,2
09. LA PEDREGOSA,MIRADORES DE SAN LORENZO,Num. 1,4
09. LA PEDREGOSA,MIRADORES DE SAN LORENZO,Num. 8,3
09. LA PEDREGOSA,NUEVA GRANADA,Num. 1,31
09. LA PEDREGOSA,NUEVA GRANADA,Num. 11,4
09. LA PEDREGOSA,NUEVA GRANADA,Num. 2,52
09. LA PEDREGOSA,NUEVA GRANADA,Num. 3,4
09. LA PEDREGOSA,NUEVA GRANADA,Num. 4,2
09. LA PEDREGOSA,NUEVA GRANADA,Num. 6,16
09. LA PEDREGOSA,NUEVA GRANADA,Num. 7,23
09. LA PEDREGOSA,NUEVA GRANADA,Num. 8,18
09. LA PEDREGOSA,PORTOFINO,Num. 16,1
09. LA PEDREGOSA,PORTOFINO,Num. 2,3
09. LA PEDREGOSA,PORTOFINO,Num. 6,1
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 1,22
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 11,2
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 16,3
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 2,26
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 3,8
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 4,2
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 5,2
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 6,15
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 7,17
09. LA PEDREGOSA,QUEBRADA LA IGLESIA,Num. 8,10
09. LA PEDREGOSA,SAN MARTIN,Lit. a,1
09. LA PEDREGOSA,SAN MARTIN,Lit. c,2
09. LA PEDREGOSA,SAN MARTIN,Num. 1,89
09. LA PEDREGOSA,SAN MARTIN,Num. 11,3
09. LA PEDREGOSA,SAN MARTIN,Num. 13,2
09. LA PEDREGOSA,SAN MARTIN,Num. 16,5
09. LA PEDREGOSA,SAN MARTIN,Num. 2,141
09. LA PEDREGOSA,SAN MARTIN,Num. 3,13
09. LA PEDREGOSA,SAN MARTIN,Num. 4,10
09. LA PEDREGOSA,SAN MARTIN,Num. 5,2
09. LA PEDREGOSA,SAN MARTIN,Num. 6,186
09. LA PEDREGOSA,SAN MARTIN,Num. 7,47
09. LA PEDREGOSA,SAN MARTIN,Num. 8,26
09. LA PEDREGOSA,SAN MARTIN,Num. 9,2
09. LA PEDREGOSA,SAN PEDRITO,Num. 1,3
09. LA PEDREGOSA,SAN PEDRITO,Num. 2,1
09. LA PEDREGOSA,SAN PEDRITO,Num. 3,2
09. LA PEDREGOSA,SAN PEDRITO,Num. 4,2
09. LA PEDREGOSA,SAN PEDRITO,Num. 5,1
09. LA PEDREGOSA,SAN PEDRITO,Num. 6,10
09. LA PEDREGOSA,SAN PEDRITO,Num. 7,6
09. LA PEDREGOSA,SAN PEDRITO,Num. 8,4
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 1,7
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 2,35
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 3,3
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 4,1
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 6,26
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 7,3
09. LA PEDREGOSA,SAN PEDRO CLAVER,Num. 8,2
09. LA PEDREGOSA,URB. EL SOL I,Num. 1,14
09. LA PEDREGOSA,URB. EL SOL I,Num. 2,14
09. LA PEDREGOSA,URB. EL SOL I,Num. 3,2
09. LA PEDREGOSA,URB. EL SOL I,Num. 6,22
09. LA PEDREGOSA,URB. EL SOL I,Num. 7,14
09. LA PEDREGOSA,URB. EL SOL I,Num. 8,7
09. LA PEDREGOSA,URB. EL SOL II,Num. 2,4
09. LA PEDREGOSA,URB. EL SOL II,Num. 4,1
09. LA PEDREGOSA,URB. EL SOL II,Num. 6,2
09. LA PEDREGOSA,URB. EL SOL II,Num. 7,4
