Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;ind_discap_ninguna;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;1;357
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;2;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;1;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;1;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;1;995
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;2;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;1;664
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;2;53
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;1;5177
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;2;438
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;1;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;1;1236
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;2;142
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;1;1165
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;2;71
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;1;186
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;2;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;1;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFÉ MADRID LA 40;1;96
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFÉ MADRID LA 40;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;1;24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;1;615
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;2;35
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;108;LIMONCITO MORRORRICO;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;229;VILLA SARA;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;229;VILLA SARA;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;1;164
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;1;106
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;2;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;244;VILLA FLOR;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;1;454
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;2;47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;1;408
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;2;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;1;133
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;2;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;292;LAS TUNAS;1;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;1;794
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;2;59
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;1;568
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;2;34
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;1;555
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;2;45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;1;367
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;2;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;1;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;2;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENTÍN;1;569
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENTÍN;2;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;1;1135
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;2;104
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;1;2467
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;2;140
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;1;473
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;2;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARIÑO;1;999
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARIÑO;2;44
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;1;98
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;1;692
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;2;65
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;1;128
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;2;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS ÁNGELES;1;659
