Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;ind_estudia;personas
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;9;217
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;1;172
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;2;465
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;9;70
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;1;43
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;2;95
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;9;20
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;1;16
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;2;33
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;9;8
1;0;SIN CORREGIMIENTO;28;CAFE MADRID EL CABLE;1-CAFE MADRID EL CABLE;0;0;1;99
1;0;SIN CORREGIMIENTO;28;CAFE MADRID EL CABLE;1-CAFE MADRID EL CABLE;0;0;2;276
1;0;SIN CORREGIMIENTO;28;CAFE MADRID EL CABLE;1-CAFE MADRID EL CABLE;0;0;9;42
1;0;SIN CORREGIMIENTO;29;KENNEDY;1-KENNEDY;KENNEDY;SI;1;575
1;0;SIN CORREGIMIENTO;29;KENNEDY;1-KENNEDY;KENNEDY;SI;2;2146
1;0;SIN CORREGIMIENTO;29;KENNEDY;1-KENNEDY;KENNEDY;SI;9;177
1;0;SIN CORREGIMIENTO;30;VILLA ALEGRIA;1-VILLA ALEGRIA;0;0;1;206
1;0;SIN CORREGIMIENTO;30;VILLA ALEGRIA;1-VILLA ALEGRIA;0;0;2;592
1;0;SIN CORREGIMIENTO;30;VILLA ALEGRIA;1-VILLA ALEGRIA;0;0;9;101
1;0;SIN CORREGIMIENTO;31;LAS HAMACAS;1-LAS HAMACAS;LAS HAMACAS;SI;1;157
1;0;SIN CORREGIMIENTO;31;LAS HAMACAS;1-LAS HAMACAS;LAS HAMACAS;SI;2;511
1;0;SIN CORREGIMIENTO;31;LAS HAMACAS;1-LAS HAMACAS;LAS HAMACAS;SI;9;63
1;0;SIN CORREGIMIENTO;32;MARIA PAZ;1-MARIA PAZ;MARIA PAZ;SI;1;876
1;0;SIN CORREGIMIENTO;32;MARIA PAZ;1-MARIA PAZ;MARIA PAZ;SI;2;2541
1;0;SIN CORREGIMIENTO;32;MARIA PAZ;1-MARIA PAZ;MARIA PAZ;SI;9;363
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;1;112
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;2;338
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;9;38
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;1;197
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;2;650
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;9;70
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;1;39
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;2;121
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;9;13
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;1;220
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;2;664
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;9;71
1;0;SIN CORREGIMIENTO;39;OMAGA I ;1-OMAGA I ;OMAGA I;SI;1;36
1;0;SIN CORREGIMIENTO;39;OMAGA I ;1-OMAGA I ;OMAGA I;SI;2;139
1;0;SIN CORREGIMIENTO;39;OMAGA I ;1-OMAGA I ;OMAGA I;SI;9;19
1;0;SIN CORREGIMIENTO;40;MIRAMAR;1-MIRAMAR;MIRAMAR;SI;1;91
1;0;SIN CORREGIMIENTO;40;MIRAMAR;1-MIRAMAR;MIRAMAR;SI;2;331
1;0;SIN CORREGIMIENTO;40;MIRAMAR;1-MIRAMAR;MIRAMAR;SI;9;41
1;0;SIN CORREGIMIENTO;41;BALCONES DEL KENNEDY;1-BALCONES DEL KENNEDY;BALCONES DEL KENEDY;SI;1;276
1;0;SIN CORREGIMIENTO;41;BALCONES DEL KENNEDY;1-BALCONES DEL KENNEDY;BALCONES DEL KENEDY;SI;2;764
1;0;SIN CORREGIMIENTO;41;BALCONES DEL KENNEDY;1-BALCONES DEL KENNEDY;BALCONES DEL KENEDY;SI;9;81
1;0;SIN CORREGIMIENTO;42;VILLA MARIA;1-VILLA MARIA;VILLA MARIA I;SI;1;73
1;0;SIN CORREGIMIENTO;42;VILLA MARIA;1-VILLA MARIA;VILLA MARIA I;SI;2;243
1;0;SIN CORREGIMIENTO;42;VILLA MARIA;1-VILLA MARIA;VILLA MARIA I;SI;9;58
1;0;SIN CORREGIMIENTO;43;ASENTAMIENTO VILLA MARIA;1-ASENTAMIENTO VILLA MARIA;NO;0;2;3
1;0;SIN CORREGIMIENTO;45;LOS ANGELES;1-LOS ANGELES;0;0;2;2
1;0;SIN CORREGIMIENTO;47;OLAS ALTAS Y BAJAS;1-OLAS ALTAS Y BAJAS;OLAS ALTAS;SI;1;218
1;0;SIN CORREGIMIENTO;47;OLAS ALTAS Y BAJAS;1-OLAS ALTAS Y BAJAS;OLAS ALTAS;SI;2;773
1;0;SIN CORREGIMIENTO;47;OLAS ALTAS Y BAJAS;1-OLAS ALTAS Y BAJAS;OLAS ALTAS;SI;9;70
1;0;SIN CORREGIMIENTO;49;PAISAJES DEL NORTE;1-PAISAJES DEL NORTE;0;0;1;171
1;0;SIN CORREGIMIENTO;49;PAISAJES DEL NORTE;1-PAISAJES DEL NORTE;0;0;2;467
1;0;SIN CORREGIMIENTO;49;PAISAJES DEL NORTE;1-PAISAJES DEL NORTE;0;0;9;79
1;0;SIN CORREGIMIENTO;50;VILLA ROSA;1-VILLA ROSA;VILLA ROSA;SI;1;1274
1;0;SIN CORREGIMIENTO;50;VILLA ROSA;1-VILLA ROSA;VILLA ROSA;SI;2;3902
1;0;SIN CORREGIMIENTO;50;VILLA ROSA;1-VILLA ROSA;VILLA ROSA;SI;9;439
1;0;SIN CORREGIMIENTO;54;MIRADOR NORTE;1-MIRADOR NORTE;0;0;1;1
1;0;SIN CORREGIMIENTO;54;MIRADOR NORTE;1-MIRADOR NORTE;0;0;2;1
1;0;SIN CORREGIMIENTO;55;CLAVERIANO;1-CLAVERIANO;CLAVERIANO;SI;1;309
1;0;SIN CORREGIMIENTO;55;CLAVERIANO;1-CLAVERIANO;CLAVERIANO;SI;2;915
1;0;SIN CORREGIMIENTO;55;CLAVERIANO;1-CLAVERIANO;CLAVERIANO;SI;9;154
1;0;SIN CORREGIMIENTO;56;ALTOS DEL PROGRESO;1-ALTOS DEL PROGRESO;ALTOS DEL PROGRESO;SI;1;276
1;0;SIN CORREGIMIENTO;56;ALTOS DEL PROGRESO;1-ALTOS DEL PROGRESO;ALTOS DEL PROGRESO;SI;2;836
1;0;SIN CORREGIMIENTO;56;ALTOS DEL PROGRESO;1-ALTOS DEL PROGRESO;ALTOS DEL PROGRESO;SI;9;124
1;0;SIN CORREGIMIENTO;58;13 DE JUNIO;1-13 DE JUNIO;13 DE JUNIO;SI;1;42
1;0;SIN CORREGIMIENTO;58;13 DE JUNIO;1-13 DE JUNIO;13 DE JUNIO;SI;2;157
1;0;SIN CORREGIMIENTO;58;13 DE JUNIO;1-13 DE JUNIO;13 DE JUNIO;SI;9;10
1;0;SIN CORREGIMIENTO;69;VILLA MERCEDES;1-VILLA MERCEDES;0;0;2;1
1;0;SIN CORREGIMIENTO;88;CAFE MADRID LA 40;1-CAFE MADRID LA 40;0;0;1;11
1;0;SIN CORREGIMIENTO;88;CAFE MADRID LA 40;1-CAFE MADRID LA 40;0;0;2;74
1;0;SIN CORREGIMIENTO;88;CAFE MADRID LA 40;1-CAFE MADRID LA 40;0;0;9;12
1;0;SIN CORREGIMIENTO;91;TEJADITOS;1-TEJADITOS;0;0;1;8
1;0;SIN CORREGIMIENTO;91;TEJADITOS;1-TEJADITOS;0;0;2;14
1;0;SIN CORREGIMIENTO;91;TEJADITOS;1-TEJADITOS;0;0;9;3
1;0;SIN CORREGIMIENTO;94;EL NOGAL 2;1-EL NOGAL 2;0;0;1;164
1;0;SIN CORREGIMIENTO;94;EL NOGAL 2;1-EL NOGAL 2;0;0;2;426
1;0;SIN CORREGIMIENTO;94;EL NOGAL 2;1-EL NOGAL 2;0;0;9;60
1;0;SIN CORREGIMIENTO;108;LIMONCITO MORRORRICO;1-LIMONCITO MORRORRICO;0;0;1;1
1;0;SIN CORREGIMIENTO;108;LIMONCITO MORRORRICO;1-LIMONCITO MORRORRICO;0;0;2;2
1;0;SIN CORREGIMIENTO;229;VILLA SARA;1-VILLA SARA;0;0;1;2
1;0;SIN CORREGIMIENTO;229;VILLA SARA;1-VILLA SARA;0;0;2;2
1;0;SIN CORREGIMIENTO;230;VILLA ALICIA;1-VILLA ALICIA;0;0;1;33
1;0;SIN CORREGIMIENTO;230;VILLA ALICIA;1-VILLA ALICIA;0;0;2;109
1;0;SIN CORREGIMIENTO;230;VILLA ALICIA;1-VILLA ALICIA;0;0;9;26
1;0;SIN CORREGIMIENTO;235;DELICIAS NORTE;1-DELICIAS NORTE;0;0;1;28
1;0;SIN CORREGIMIENTO;235;DELICIAS NORTE;1-DELICIAS NORTE;0;0;2;79
1;0;SIN CORREGIMIENTO;235;DELICIAS NORTE;1-DELICIAS NORTE;0;0;9;7
1;0;SIN CORREGIMIENTO;244;VILLA FLOR;1-VILLA FLOR;0;0;1;2
1;0;SIN CORREGIMIENTO;244;VILLA FLOR;1-VILLA FLOR;0;0;2;2
1;0;SIN CORREGIMIENTO;247;LA FORTUNA;1-LA FORTUNA;0;0;1;101
1;0;SIN CORREGIMIENTO;247;LA FORTUNA;1-LA FORTUNA;0;0;2;332
1;0;SIN CORREGIMIENTO;247;LA FORTUNA;1-LA FORTUNA;0;0;9;68
1;0;SIN CORREGIMIENTO;281;SAN IGNACIO REAL;1-SAN IGNACIO REAL;0;0;1;113
1;0;SIN CORREGIMIENTO;281;SAN IGNACIO REAL;1-SAN IGNACIO REAL;0;0;2;266
1;0;SIN CORREGIMIENTO;281;SAN IGNACIO REAL;1-SAN IGNACIO REAL;0;0;9;44
1;0;SIN CORREGIMIENTO;291;CAMINOS DE PAZ;1-CAMINOS DE PAZ;0;0;1;40
1;0;SIN CORREGIMIENTO;291;CAMINOS DE PAZ;1-CAMINOS DE PAZ;0;0;2;91
1;0;SIN CORREGIMIENTO;291;CAMINOS DE PAZ;1-CAMINOS DE PAZ;0;0;9;18
1;0;SIN CORREGIMIENTO;292;LAS TUNAS;1-LAS TUNAS;0;0;2;1
1;0;SIN CORREGIMIENTO;292;LAS TUNAS;1-LAS TUNAS;0;0;9;1
1;0;SIN CORREGIMIENTO;297;TEJAR II;1-TEJAR II;TEJAR NORTE;SI;1;163
1;0;SIN CORREGIMIENTO;297;TEJAR II;1-TEJAR II;TEJAR NORTE;SI;2;620
1;0;SIN CORREGIMIENTO;297;TEJAR II;1-TEJAR II;TEJAR NORTE;SI;9;70
1;0;SIN CORREGIMIENTO;298;TEJAR I;1-TEJAR I;TEJAR NORTE;SI;1;140
1;0;SIN CORREGIMIENTO;298;TEJAR I;1-TEJAR I;TEJAR NORTE;SI;2;417
1;0;SIN CORREGIMIENTO;298;TEJAR I;1-TEJAR I;TEJAR NORTE;SI;9;45
1;0;SIN CORREGIMIENTO;299;OMAGA II;1-OMAGA II;OMAGA II;SI;1;141
1;0;SIN CORREGIMIENTO;299;OMAGA II;1-OMAGA II;OMAGA II;SI;2;410
1;0;SIN CORREGIMIENTO;299;OMAGA II;1-OMAGA II;OMAGA II;SI;9;49
1;0;SIN CORREGIMIENTO;301;CERVUNION;1-CERVUNION;0;0;1;87
1;0;SIN CORREGIMIENTO;301;CERVUNION;1-CERVUNION;0;0;2;254
1;0;SIN CORREGIMIENTO;301;CERVUNION;1-CERVUNION;0;0;9;52
1;0;SIN CORREGIMIENTO;302;ASENTAMIENTO LUZ DE ESPERANZA;1-ASENTAMIENTO LUZ DE ESPERANZA;LUZ DE ESPERENZA;0;1;7
1;0;SIN CORREGIMIENTO;302;ASENTAMIENTO LUZ DE ESPERANZA;1-ASENTAMIENTO LUZ DE ESPERANZA;LUZ DE ESPERENZA;0;2;17
1;0;SIN CORREGIMIENTO;302;ASENTAMIENTO LUZ DE ESPERANZA;1-ASENTAMIENTO LUZ DE ESPERANZA;LUZ DE ESPERENZA;0;9;4
1;0;SIN CORREGIMIENTO;305;SAN VALENTIN;1-SAN VALENTIN;0;0;1;148
1;0;SIN CORREGIMIENTO;305;SAN VALENTIN;1-SAN VALENTIN;0;0;2;383
1;0;SIN CORREGIMIENTO;305;SAN VALENTIN;1-SAN VALENTIN;0;0;9;67
1;0;SIN CORREGIMIENTO;311;ALTOS DE BETANIA;1-ALTOS DE BETANIA;BETANIA;SI;1;302
1;0;SIN CORREGIMIENTO;311;ALTOS DE BETANIA;1-ALTOS DE BETANIA;BETANIA;SI;2;810
1;0;SIN CORREGIMIENTO;311;ALTOS DE BETANIA;1-ALTOS DE BETANIA;BETANIA;SI;9;127
